# Atkinson and Boore (2006)
# Coefficients for BC boundary conditions (Vs30=760 m/s).
#period,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10
-2,-3.090E+00,8.280E-01,-8.541E-03,-2.381E+00,1.782E-01,-1.643E+00,1.628E-01,5.810E-01,-1.450E-01,-2.337E-04
-1,-1.662E+00,1.050E+00,-6.035E-02,-2.496E+00,1.840E-01,-2.301E+00,2.500E-01,1.268E-01,-8.704E-02,-4.266E-04
0,5.233E-01,9.686E-01,-6.196E-02,-2.439E+00,1.465E-01,-2.335E+00,1.912E-01,-8.695E-02,-8.285E-02,-6.304E-04
0.025,1.052E+00,9.030E-01,-5.768E-02,-2.571E+00,1.483E-01,-2.652E+00,2.065E-01,-4.084E-01,-5.769E-02,-5.122E-04
0.031,1.191E+00,8.884E-01,-5.642E-02,-2.577E+00,1.451E-01,-2.840E+00,2.121E-01,-4.370E-01,-5.866E-02,-4.329E-04
0.040,1.261E+00,8.789E-01,-5.515E-02,-2.536E+00,1.388E-01,-2.994E+00,2.158E-01,-3.908E-01,-6.746E-02,-3.881E-04
0.050,1.209E+00,8.830E-01,-5.441E-02,-2.440E+00,1.295E-01,-3.035E+00,2.133E-01,-2.098E-01,-8.997E-02,-4.145E-04
0.063,1.109E+00,8.875E-01,-5.386E-02,-2.334E+00,1.229E-01,-2.881E+00,2.007E-01,-3.189E-02,-1.069E-01,-5.483E-04
0.079,9.667E-01,9.033E-01,-5.476E-02,-2.249E+00,1.215E-01,-2.530E+00,1.775E-01,1.001E-01,-1.147E-01,-7.724E-04
0.100,7.818E-01,9.235E-01,-5.555E-02,-2.165E+00,1.191E-01,-2.097E+00,1.483E-01,2.847E-01,-1.319E-01,-9.897E-04
0.125,5.356E-01,9.647E-01,-5.835E-02,-2.110E+00,1.205E-01,-1.672E+00,1.156E-01,3.433E-01,-1.322E-01,-1.130E-03
0.158,1.194E-01,1.057E+00,-6.473E-02,-2.054E+00,1.190E-01,-1.355E+00,9.160E-02,5.164E-01,-1.503E-01,-1.178E-03
0.199,-3.056E-01,1.156E+00,-7.211E-02,-2.038E+00,1.220E-01,-1.147E+00,7.375E-02,5.082E-01,-1.430E-01,-1.140E-03
0.251,-8.756E-01,1.293E+00,-8.193E-02,-2.014E+00,1.226E-01,-1.027E+00,6.341E-02,5.808E-01,-1.491E-01,-1.053E-03
0.315,-1.560E+00,1.455E+00,-9.312E-02,-1.977E+00,1.209E-01,-9.466E-01,5.576E-02,6.499E-01,-1.558E-01,-9.552E-04
0.397,-2.281E+00,1.629E+00,-1.054E-01,-1.967E+00,1.227E-01,-8.880E-01,5.033E-02,6.839E-01,-1.582E-01,-8.587E-04
0.500,-3.007E+00,1.803E+00,-1.178E-01,-1.982E+00,1.274E-01,-8.466E-01,4.698E-02,6.670E-01,-1.546E-01,-7.676E-04
0.629,-3.748E+00,1.973E+00,-1.294E-01,-1.997E+00,1.313E-01,-8.417E-01,4.820E-02,6.772E-01,-1.557E-01,-6.763E-04
0.794,-4.446E+00,2.119E+00,-1.387E-01,-2.009E+00,1.356E-01,-8.576E-01,4.976E-02,7.084E-01,-1.589E-01,-5.751E-04
1.000,-5.058E+00,2.233E+00,-1.454E-01,-2.030E+00,1.408E-01,-8.744E-01,5.412E-02,7.922E-01,-1.697E-01,-4.886E-04
1.250,-5.489E+00,2.289E+00,-1.476E-01,-2.081E+00,1.501E-01,-9.000E-01,5.794E-02,8.208E-01,-1.719E-01,-4.070E-04
1.587,-5.754E+00,2.287E+00,-1.450E-01,-2.131E+00,1.582E-01,-9.568E-01,6.762E-02,8.670E-01,-1.789E-01,-3.429E-04
2.000,-5.853E+00,2.233E+00,-1.385E-01,-2.195E+00,1.688E-01,-1.037E+00,8.002E-02,8.666E-01,-1.790E-01,-2.860E-04
2.500,-5.800E+00,2.126E+00,-1.278E-01,-2.257E+00,1.790E-01,-1.123E+00,9.539E-02,8.911E-01,-1.797E-01,-2.601E-04
3.125,-5.590E+00,1.972E+00,-1.136E-01,-2.331E+00,1.908E-01,-1.204E+00,1.099E-01,8.449E-01,-1.723E-01,-2.452E-04
4.000,-5.256E+00,1.787E+00,-9.785E-02,-2.435E+00,2.068E-01,-1.307E+00,1.210E-01,7.340E-01,-1.560E-01,-1.959E-04
5.000,-4.852E+00,1.580E+00,-8.066E-02,-2.530E+00,2.216E-01,-1.426E+00,1.361E-01,6.340E-01,-1.413E-01,-1.608E-04
